Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
2,The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,83
3,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
4,Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81
5,Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,80
6,Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,80
7,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
8,Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,79
9,American Boy,Estelle,r&b,2008,118,73,73,-3,7,51,285,17,33,79
10,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79
11,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78
12,Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,78
13,Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,78
14,Fireflies,Owl City,pop,2009,180,66,51,-7,12,46,228,3,4,78
15,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
16,So Sick,Ne-Yo,dance pop,2006,93,57,45,-8,19,58,207,25,31,77
17,Take A Bow,Rihanna,barbadian pop,2008,82,47,70,-8,9,57,229,25,7,77
18,Dilemma,Nelly,dance pop,2002,168,55,73,-8,20,61,289,23,14,77
19,I Gotta Feeling,The Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,77
20,Halo,Beyonc̩,dance pop,2008,80,72,51,-6,6,47,262,27,6,77
21,In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77
22,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,77
23,Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,74,74,-2,5,80,222,52,8,76
24,Gasolina,Daddy Yankee,latin,2004,96,80,86,-6,8,75,193,33,6,76
