Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Put Your Head On My Shoulder,Paul Anka,adult standards,2000,116,34,55,-9,10,47,155,75,3,72
2,Whatever Will Be Will Be (Que Sera Sera) (with Frank DeVol & His Orchestra) - Single Version,Doris Day,adult standards,1948,177,34,42,-11,72,78,123,86,4,62
3,Everybody Loves Somebody,Dean Martin,adult standards,2013,81,49,26,-9,34,40,162,81,4,61
4,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,adult standards,2011,82,43,49,-12,12,66,151,70,6,60
5,A Teenager In Love,Dion & The Belmonts,adult standards,1959,79,38,56,-9,13,62,158,67,3,60
6,She's Got You - Single Version,Patsy Cline,adult standards,1962,182,14,39,-18,11,57,182,94,4,57
7,Puppy Love - Remix,Paul Anka,adult standards,2000,102,41,29,-10,27,54,164,66,3,56
8,Travelin' Man - Remastered,Ricky Nelson,adult standards,1991,123,36,74,-12,12,86,143,67,3,55
9,Mr. Blue,The Fleetwoods,adult standards,1993,97,9,37,-17,11,21,145,93,4,55
10,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,adult standards,1961,123,43,81,-12,2,96,144,55,9,54
11,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,adult standards,1990,78,10,51,-18,10,30,136,86,3,54
12,16 Candles,Johnny Maestro,brill building pop,1993,114,31,60,-11,9,60,175,73,3,53
13,If I Give My Heart to You (with The Mellomen) - 78rpm Version,Doris Day,adult standards,1945,77,6,50,-16,10,33,169,97,5,52
14,Sh-Boom - Single Version,The Chords,doo-wop,2007,137,47,67,-9,27,91,144,85,5,52
15,Sh-Boom (Life Could Be A Dream),The Crew Cuts,doo-wop,2006,130,27,67,-11,23,56,168,85,9,51
16,It's All In The Game,Tommy Edwards,deep adult standards,1994,105,28,38,-14,31,65,159,4,3,49
17,You Mean Everything to Me,Neil Sedaka,adult standards,1959,72,43,37,-8,13,68,158,52,3,48
18,April Love,Pat Boone,adult standards,1962,91,17,39,-15,8,50,161,83,3,48
19,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,brill building pop,1990,148,65,47,-14,34,94,163,60,3,48
20,I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,adult standards,1960,79,12,57,-16,11,34,163,79,6,47
21,Rubber Ball,Bobby Vee,adult standards,1961,143,43,42,-10,18,77,144,69,4,47
22,Chicago - Remastered,Frank Sinatra,adult standards,1958,148,46,51,-10,40,79,134,61,7,47
23,But Not For Me,Ella Fitzgerald,adult standards,1959,80,22,18,-17,10,16,214,92,4,45
24,In The Still Of The Night,The Five Satins,brill building pop,2010,110,32,44,-10,11,20,184,88,4,44
25,Only Because,The Platters,adult standards,1957,73,28,55,-10,9,47,174,85,3,44
26,Che La Luna,Louis Prima,adult standards,1973,127,64,68,-12,21,99,152,30,6,44
27,My Happiness,Connie Francis,adult standards,1996,107,31,45,-8,13,28,150,75,3,44
28,Brown Eyed Handsome Man,Buddy Holly,adult standards,1963,95,97,59,-7,9,86,125,4,9,43
29,Poetry In Motion,Johnny Tillotson,adult standards,2011,135,71,49,-7,10,90,154,40,3,41
30,To The Aisle,The Five Satins,brill building pop,2008,195,27,32,-10,10,55,166,91,4,41
31,Tulips From Amsterdam,Max Bygraves,british comedy,2000,93,45,56,-7,15,70,135,49,3,41
32,If I Give My Heart To You,The Teddy Bears,,2011,113,29,49,-10,12,29,118,86,3,40
33,The Lady Is A Tramp,Mel Torme & the Mel-Tones,,2016,138,60,41,-8,41,54,170,81,6,40
34,Let's Fall in Love,James Darren,adult standards,2014,128,29,51,-11,8,58,128,78,4,39
35,Runaround,The Fleetwoods,adult standards,2011,79,14,37,-15,12,36,154,95,4,39
36,A Thousand Miles Away,The Temprees,classic soul,1984,75,26,48,-15,28,30,199,39,3,39
37,Walkin’ My Baby Back Home,Dean Martin,adult standards,2007,127,17,72,-13,7,78,175,98,7,39
38,Outside My Window,The Fleetwoods,adult standards,1993,106,16,59,-18,11,47,129,88,3,39
39,I Love My Girl,The Hilltoppers,deep adult standards,2011,123,45,74,-10,10,96,106,88,4,38
40,Eddie My Love,The Chordettes,adult standards,2012,108,14,57,-12,13,39,135,82,3,38
41,Let There Be You,The Five Keys,doo-wop,1989,92,11,36,-15,20,23,154,97,3,38
42,Raindrops,Roy Orbison,adult standards,1961,103,44,59,-10,5,90,113,52,3,38
43,Unchained Melody,The Teddy Bears,,2011,114,44,53,-8,13,47,139,49,3,37
44,It All Depends on You,Craig Douglas,brill building pop,1993,147,32,53,-10,17,73,127,87,7,37
45,A Tear Fell,Teresa Brewer,adult standards,1995,86,16,42,-16,18,46,156,92,5,37
46,Ain't Got No Home,"Clarence ""Frogman"" Henry",louisiana blues,2013,84,33,66,-16,9,53,143,69,9,36
47,Carolina in the Morning,Craig Douglas,brill building pop,2011,81,20,35,-13,9,43,213,87,3,36
48,Gigi,Billy Eckstine,adult standards,1958,81,12,21,-17,12,19,155,93,3,35
49,What Do You Want,Adam Faith,brill building pop,1989,147,37,55,-9,24,85,98,84,4,35
50,You Belong to My Heart,Timi Yuro,adult standards,2013,108,39,46,-10,16,50,126,82,3,35
51,Someone Elses Roses,Joan Regan,,2019,100,14,29,-10,15,32,143,89,3,34
52,More,Jimmy Young,deep adult standards,2007,126,31,36,-11,25,29,146,77,3,34
53,Do You Wanna Dance,Bobby Freeman,doo-wop,2013,167,50,55,-15,15,96,149,89,6,33
54,My September Love,David Whitfield,deep adult standards,2000,137,21,24,-17,20,14,166,65,3,33
55,Seven Days,Anne Shelton,british dance band,2016,90,27,53,-8,27,72,149,89,3,33
56,Marianne,The Hilltoppers,deep adult standards,2019,106,55,71,-8,19,82,137,73,4,33
57,Sea Of Love,Marty Wilde,brill building pop,2010,84,39,45,-9,13,39,144,91,3,32
