Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,79
2,I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,76
3,It Wasn't Me,Shaggy,dance pop,2000,95,61,85,-5,31,65,228,6,7,76
4,"Because You Loved Me (Theme from ""Up Close and Personal"")",C̩line Dion,canadian pop,1996,120,47,61,-10,10,18,274,31,3,74
5,Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,84,58,78,-7,14,76,253,43,27,74
6,I Got 5 On It,Luniz,g funk,1995,174,71,60,-8,13,58,254,21,36,73
7,Boom Boom Boom Boom!!,Vengaboys,bubblegum dance,2000,138,89,80,-7,3,97,202,1,4,73
8,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,85,73,-4,27,61,225,4,4,73
9,Bed Of Roses,Bon Jovi,glam metal,1992,165,60,31,-6,21,16,394,10,3,73
10,Don't Look Back in Anger - Remastered,Oasis,britpop,1995,163,94,33,-3,15,33,290,7,6,73
11,Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,73
12,Angels,Robbie Williams,dance pop,1997,150,59,43,-6,10,24,265,16,3,73
13,Return of the Mack,Mark Morrison,british soul,1996,95,83,72,-5,16,61,213,1,11,72
14,Pony,Ginuwine,dance pop,1999,142,61,75,-9,12,97,252,0,9,72
15,Freed From Desire,Gala,eurodance,2007,129,86,70,-4,10,64,213,59,5,71
16,Better Off Alone,Alice DJ,europop,2000,137,82,67,-9,29,76,218,0,6,71
17,Hero,Mariah Carey,dance pop,1993,120,38,50,-9,12,18,258,74,3,71
18,End Of The Road,Boyz II Men,boy band,1991,150,43,64,-9,6,53,351,7,2,71
19,I'll Be Missing You (feat. 112),Diddy,dance pop,2004,110,48,86,-9,59,93,302,5,6,71
20,Forgot About Dre,Dr. Dre,g funk,1999,134,74,92,-1,16,62,222,8,8,71
21,Fantasy,Mariah Carey,dance pop,1995,102,73,67,-8,12,80,243,14,4,70
22,Sandstorm,Darude,eurodance,2000,136,97,53,-8,8,59,225,14,5,70
23,Who Am I (What's My Name)?,Snoop Dogg,g funk,1993,97,83,69,-4,52,69,246,0,5,70
24,Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1993,133,100,70,-8,12,39,257,7,4,69
25,Spending My Time,Roxette,europop,1991,171,57,42,-5,13,22,276,24,3,69
26,Let's Get Loud,Jennifer Lopez,dance pop,1999,131,94,82,-5,35,91,239,14,6,69
27,The Rhythm of the Night,Corona,bubblegum dance,1994,128,81,69,-12,10,80,264,0,3,69
28,The Power of Love,C̩line Dion,canadian pop,1993,140,52,55,-9,24,25,342,36,3,68
29,Narcotic - Radio Edit,Liquido,german alternative rock,1998,102,61,62,-7,9,45,236,0,2,68
30,Miami,Will Smith,hip hop,1997,108,53,88,-6,4,89,198,3,15,68
31,Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,94,69,90,-4,29,63,230,18,28,68
32,3AM,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,68
33,High,Lighthouse Family,europop,1997,102,63,66,-9,13,59,308,11,3,68
34,L'Amour Toujours,Gigi D'Agostino,eurodance,2011,139,73,62,-8,36,81,239,3,3,67
35,"Rhythm Is A Dancer - 7"" Edit",SNAP!,diva house,1992,124,75,79,-11,14,71,226,27,4,67
36,Say My Name,Destiny's Child,dance pop,1999,67,68,52,-4,13,75,271,27,16,67
37,Heal the World,Michael Jackson,pop,1991,81,49,53,-8,10,10,384,54,5,67
38,The Boy Is Mine,Brandy,dance pop,1998,93,71,70,-7,32,76,295,54,4,66
39,Weak,SWV,dance pop,1992,128,53,69,-11,7,57,292,11,4,66
40,Walking in Memphis,Cher,dance pop,1995,129,68,70,-7,17,53,235,59,3,66
41,Angel of Mine - Radio Mix,Monica,dance pop,1998,90,56,59,-7,22,21,250,0,2,66
42,Picture Of You,Boyzone,boy band,1997,117,92,76,-6,37,88,206,10,4,65
43,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",C̩line Dion,canadian pop,1992,77,40,46,-10,13,12,249,64,3,65
44,Run To You,Bryan Adams,album rock,1984,127,81,56,-6,29,64,233,1,3,65
45,No Matter What,Boyzone,boy band,1998,93,42,70,-9,14,53,274,19,2,65
46,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1998,128,97,82,-11,39,77,284,26,6,64
47,Dreams,Gabrielle,british soul,1993,99,47,75,-14,22,57,223,17,4,64
48,Fading Like a Flower (Every Time You Leave),Roxette,europop,1991,105,67,61,-6,22,32,231,20,3,64
49,It's Not Right But It's Okay,Whitney Houston,dance pop,1998,128,80,81,-7,7,53,292,16,10,64
50,Stay Another Day,East 17,boy band,1994,128,49,52,-8,19,44,267,58,3,63
51,A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1993,108,32,52,-10,14,13,243,63,3,63
52,Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1997,133,93,66,-7,19,84,221,1,4,62
53,Incomplete,Sisqo,dance pop,1999,119,44,75,-8,14,27,274,28,8,62
54,Sweet Dreams,La Bouche,bubblegum dance,2007,134,96,66,-6,9,83,205,8,5,62
55,Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,96,82,87,-5,15,79,301,48,26,62
56,Mysterious Girl - Radio Edit,Peter Andre,europop,2004,172,82,66,-6,30,86,217,14,21,62
57,It's Gonna Be Me,*NSYNC,boy band,2000,165,87,64,-5,6,88,191,5,8,62
58,I Have Nothing - Film Version,Whitney Houston,dance pop,2017,153,45,49,-9,9,17,296,76,3,61
59,I Promised Myself,Nick Kamen,,1990,128,80,58,-12,3,69,241,0,3,61
60,You,Ten Sharp,,1991,174,90,41,-8,19,67,273,43,3,61
61,Relight My Fire (feat. Lulu),Take That,boy band,1993,123,94,65,-7,10,93,252,4,5,61
62,Get A Way,Maxx,bubblegum dance,1994,133,86,85,-10,5,60,227,3,4,60
63,More And More - Single Version,Captain Hollywood Project,bubblegum dance,1993,126,85,66,-12,9,71,254,23,3,60
64,Free - Mood II Swing Radio Edit,Ultra Nat̩,deep house,1997,125,92,76,-6,4,74,233,0,4,60
65,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1994,161,39,30,-15,11,14,292,26,3,59
66,Please Don't Go,Double You,eurodance,1992,120,84,71,-12,3,49,200,6,4,59
67,Piu bella cosa,Eros Ramazzotti,italian pop,2014,110,79,67,-5,11,62,265,8,3,58
68,When the Heartache Is Over,Tina Turner,disco,1999,115,77,69,-6,7,43,224,1,3,58
69,Bailando,Paradisio,bubblegum dance,1997,133,94,65,-9,12,84,229,8,4,58
70,Let There Be Love - 2002 Digital Remaster,Simple Minds,art rock,1991,88,88,49,-6,13,60,309,8,4,57
71,I Will Always Love You - Film Version,Whitney Houston,dance pop,2017,133,28,34,-10,10,12,275,61,4,57
72,I'll Be There,Mariah Carey,dance pop,1998,82,51,41,-10,93,30,264,70,3,56
73,Don't Stop,ATB,german dance,1999,134,94,71,-5,32,57,221,15,4,56
74,Das Boot,U96,bubble trance,1992,123,88,64,-8,25,33,314,1,7,56
75,Hold On My Heart - 2007 Digital Remaster,Genesis,album rock,1991,172,36,46,-13,7,27,278,61,3,56
76,Real Real Gone,Van Morrison,classic rock,1990,142,85,70,-7,19,95,221,38,3,56
77,King Of My Castle - Roy Malone's King Mix,Wamdue Project,disco house,2009,125,54,87,-9,6,76,299,4,8,55
