Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Here Comes The Sun - Remastered 2009,The Beatles,british invasion,1969,129,54,56,-10,18,39,186,3,3,82
2,Come Together - Remastered 2009,The Beatles,british invasion,1969,165,38,53,-12,9,19,260,3,4,79
3,Sweet Caroline,Neil Diamond,adult standards,1969,63,13,53,-16,24,58,204,61,3,78
4,Yesterday - Remastered 2009,The Beatles,british invasion,1965,97,18,33,-12,9,32,126,88,3,78
5,Can't Help Falling in Love,Elvis Presley,adult standards,1961,100,29,40,-14,11,34,182,94,3,78
6,Fly Me To The Moon (In Other Words),Frank Sinatra,adult standards,1962,119,26,67,-14,6,37,147,45,5,76
7,I Want To Hold Your Hand - Remastered 2015,The Beatles,british invasion,2000,131,72,49,-6,31,87,146,39,5,74
8,White Room,Cream,album rock,1968,110,58,55,-13,4,46,298,19,3,73
9,Put Your Head On My Shoulder,Paul Anka,adult standards,2000,116,34,55,-9,10,47,155,75,3,72
10,Build Me Up Buttercup,The Foundations,brill building pop,1968,134,51,66,-7,28,85,178,31,3,72
11,My Way,Frank Sinatra,adult standards,1969,75,38,40,-7,12,23,277,70,3,72
12,Surfin' U.S.A. - Remastered,The Beach Boys,baroque pop,1963,159,85,55,-6,11,97,149,66,4,71
13,Pinball Wizard,The Who,album rock,1969,124,72,54,-9,26,47,181,2,4,69
14,L-O-V-E,Nat King Cole,adult standards,1992,78,37,43,-8,8,66,155,68,8,68
15,Please Mr. Postman,The Marvelettes,brill building pop,1961,122,78,79,-5,18,97,148,73,3,68
16,Hey Jude - Remastered 2009,The Beatles,british invasion,1973,145,55,40,-10,9,67,431,3,3,67
17,Back In The U.S.S.R. - Remastered 2009,The Beatles,british invasion,1968,142,97,48,-7,6,49,163,7,9,66
18,Suite: Judy Blue Eyes - Remastered,Crosby Stills & Nash,album rock,1969,154,36,45,-13,20,30,444,47,4,66
19,Waterloo Sunset - Mono Mix,The Kinks,album rock,1967,108,69,51,-7,17,42,194,16,2,65
20,Baby I Need Your Loving,Four Tops,adult standards,1965,121,69,63,-6,19,65,166,44,4,63
21,Heart Full of Soul,The Yardbirds,album rock,2002,141,67,49,-10,5,70,148,23,4,62
22,Gloria - Stereo Version,Them,blues rock,2015,129,70,64,-10,10,72,157,40,5,62
23,It Takes Two,Marvin Gaye,classic soul,1966,151,48,52,-11,8,81,178,21,5,62
24,This Will Be Our Year,The Zombies,art rock,1968,98,42,54,-7,19,54,128,63,3,61
25,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,adult standards,2011,82,43,49,-12,12,66,151,70,6,60
26,Hey! Baby - Remastered,Bruce Channel,rock-and-roll,2017,64,62,52,-6,27,64,144,36,4,60
27,Comment te dire adieu - It Hurts to Say Goodbye,Françoise Hardy,chanson,2005,124,45,73,-12,11,84,146,20,6,59
28,Rhythm of the Rain,The Cascades,adult standards,1963,117,66,66,-8,14,67,146,63,4,59
29,What Becomes Of The Brokenhearted,Jimmy Ruffin,brill building pop,1989,99,42,72,-13,57,60,176,62,3,59
30,Friday On My Mind,The Easybeats,australian rock,1965,95,99,37,-1,9,51,163,38,8,59
31,Today,Jefferson Airplane,art rock,1967,90,31,51,-14,13,29,178,70,3,59
32,Always See Your Face,Love,art rock,1969,110,58,57,-13,6,92,209,38,3,58
33,Astral Weeks - 1999 Remaster,Van Morrison,classic rock,1968,81,35,45,-15,14,61,426,54,3,58
34,Both Sides Now,Joni Mitchell,canadian folk,1969,97,16,62,-15,14,33,275,91,3,58
35,Tous les garçons et les filles - Slow,Françoise Hardy,chanson,1962,108,37,74,-10,14,89,188,81,3,57
36,"Ferry Cross the Mersey - Stereo, 1997 Remaster",Gerry & The Pacemakers,adult standards,1997,105,29,40,-11,12,61,144,55,3,56
37,Needles and Pins - Mono,The Searchers,adult standards,1964,124,95,56,-7,6,89,131,5,4,56
38,Little Bit Of Rain,Karen Dalton,alternative country,1969,174,6,43,-22,10,36,157,93,4,56
39,Young Girl,Gary Puckett & The Union Gap,adult standards,1968,119,54,41,-8,51,45,194,65,3,56
40,Leaving Trunk,Taj Mahal,acoustic blues,1968,174,50,54,-11,17,95,290,20,5,55
41,Dream A Little Dream Of Me,Ella Fitzgerald,adult standards,1963,72,7,28,-24,11,22,246,93,8,54
42,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker,art pop,1969,91,45,42,-16,16,78,221,58,4,54
43,Pictures of Matchstick Men - Mono Version,Status Quo,album rock,1968,173,60,24,-4,5,42,191,7,3,54
44,No Sugar Tonight / New Mother Nature,The Guess Who,album rock,2000,101,83,51,-9,31,52,294,56,4,54
45,I'm Gonna Make You Love Me,Diana Ross & The Supremes,classic girl group,1968,98,39,64,-12,26,43,187,39,4,54
46,Silence Is Golden,The Tremeloes,adult standards,1997,112,56,44,-7,24,58,191,6,3,53
47,Can't Take My Eyes Off You,Frankie Valli,adult standards,2017,124,78,58,-7,8,56,204,51,6,53
48,You Ain't Goin' Nowhere,The Byrds,art rock,1968,132,43,51,-14,76,70,153,11,4,53
49,Everybody Knows This Is Nowhere - 2009 Remaster,Neil Young,album rock,1969,158,64,52,-9,42,85,149,2,3,52
50,Everybody Needs Somebody To Love - Long Version,The Rolling Stones,album rock,1965,178,73,53,-8,11,80,303,26,7,52
51,The Sun Ain't Gonna Shine Anymore,The Walker Brothers,brill building pop,1998,111,68,38,-7,24,43,195,22,4,52
52,What the World Needs Now Is Love,Dionne Warwick,adult standards,2016,112,36,57,-10,14,40,190,92,4,51
53,Everlasting Love,Love Affair,bubblegum pop,2012,121,60,50,-10,49,81,182,26,4,51
54,Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,art rock,1967,127,56,61,-10,12,56,167,58,7,51
55,Here Comes the Night,Them,blues rock,2015,99,58,64,-9,16,96,167,44,3,50
56,Surf City,Jan & Dean,brill building pop,2010,148,81,53,-13,23,96,147,50,3,50
57,Crying,Roy Orbison,adult standards,2017,97,47,23,-6,32,21,179,57,3,49
58,You'll Never Walk Alone,Gerry & The Pacemakers,adult standards,2017,114,43,45,-6,22,29,160,42,3,49
59,Everybody Loves Somebody,Dean Martin,adult standards,2014,119,41,50,-12,35,46,164,86,4,49
60,Spanish Eyes,Al Martino,adult standards,1977,109,49,51,-9,9,49,167,36,3,49
61,I Walk on Guilded Splinters,Dr. John,blues,1968,90,29,65,-19,9,71,466,56,8,48
62,Goin' Back,The Byrds,art rock,1968,116,45,50,-10,12,55,206,36,3,47
63,Isfahan,Duke Ellington,adult standards,1967,173,7,25,-14,10,9,246,98,3,47
64,Hot Burrito #1,The Flying Burrito Brothers,alternative country,1969,157,43,40,-13,17,35,217,1,3,46
65,Over Under Sideways Down - The Mono Album,The Yardbirds,album rock,1966,97,86,53,-11,31,39,143,29,8,46
66,Honey,Bobby Goldsboro,adult standards,2008,93,35,50,-10,24,53,241,30,3,46
67,Everybody's Talkin',Fred Neil,american folk revival,1998,120,30,67,-13,15,57,165,52,3,46
68,She'd Rather Be With Me,The Turtles,brill building pop,1967,124,78,49,-11,15,94,142,27,3,46
69,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders,brill building pop,1971,132,39,64,-13,9,21,172,28,8,46
70,Locomotive,Thelonious Monk,bebop,1967,112,44,67,-11,13,70,400,78,4,46
71,Rag Doll,Frankie Valli & The Four Seasons,adult standards,2003,121,53,50,-8,7,61,182,76,4,45
72,Telstar,The Tornados,british invasion,1962,146,75,20,-7,38,63,195,0,4,45
73,So Much In Love,The Tymes,beach music,1963,76,49,55,-10,45,44,140,79,3,45
74,This Eve of Parting,John Hartford,appalachian folk,2018,115,46,56,-12,21,34,153,18,3,44
75,Trouble Every Day,Frank Zappa,album rock,1966,121,78,31,-13,90,48,350,51,8,44
76,No Time,The Guess Who,album rock,1971,128,48,48,-14,5,12,219,8,6,44
77,The Game Of Love,Wayne Fontana & The Mindbenders,british invasion,1964,109,83,57,-4,19,96,127,9,3,43
78,Ringo,Lorne Greene,cowboy western,1964,111,52,56,-13,22,65,214,86,31,43
79,Black Christ of the Andes (St. Martin de Porres),Mary Lou Williams,bebop,1964,89,7,20,-20,13,6,400,98,3,42
80,Sheila,Tommy Roe,adult standards,1962,136,57,42,-9,6,48,127,28,11,42
81,Walkin' Back to Happiness,Helen Shapiro,adult standards,2017,97,67,65,-9,17,83,150,66,8,42
82,Barabajagal (with Jeff Beck Group),Donovan,art rock,1969,100,57,67,-17,8,68,200,10,7,42
83,On The Sunny Side Of The Ocean,John Fahey,drone folk,1965,116,73,48,-10,16,48,193,81,3,41
84,Ca' the Yowes,Shirley & Dolly Collins,british folk,2008,80,7,32,-10,27,32,208,76,3,41
85,Mr. Soul,Buffalo Springfield,blues rock,1969,135,55,67,-13,4,96,172,10,3,41
86,My Spiritual Indian,Eddie Palmieri,boogaloo,1969,121,92,48,-6,7,50,400,58,8,41
87,Myself When I Am Real,Charles Mingus,avant-garde jazz,1963,81,19,32,-17,8,10,456,99,4,41
88,This Diamond Ring,Gary Lewis & The Playboys,adult standards,2011,133,61,63,-11,14,78,137,33,3,41
89,Cry Like a Baby,The Box Tops,brill building pop,1968,133,47,67,-12,50,77,152,34,3,40
90,Red Rubber Ball,The Cyrkle,brill building pop,2002,92,52,61,-10,9,79,139,43,3,39
91,Lovely Sky Boat,Alice Coltrane,afropop,1968,119,43,34,-17,19,44,411,45,5,38
92,The Ballad of Bonnie & Clyde,Georgie Fame,british blues,1968,107,47,71,-10,25,74,190,71,9,38
93,A World Without Love,Peter And Gordon,brill building pop,2017,130,66,51,-10,11,75,161,23,6,37
94,Don't Break The Heart That Loves You,Connie Francis,adult standards,1996,73,41,39,-6,20,20,182,82,3,37
95,Live Wire,The Meters,afrobeat,1969,114,77,68,-12,17,96,160,27,4,36
96,Laugh Laugh,The Beau Brummels,brill building pop,2006,129,68,49,-9,10,75,177,30,5,30
97,Peppermint Twist Pt.1,Joey Dee,australian talent show,2019,199,73,42,-11,73,72,122,37,14,30
